index_0,sample,value
0,0,0.5645371220951841
1,0,0.11613471052153868
2,0,0.5044545756032304
3,0,0.2867521141453766
4,0,0.24948041127607556
5,0,0.5185176743361881
0,1,0.5830672810246306
1,1,0.21563066980307255
2,1,0.3908105405921358
3,1,0.30457552506456076
4,1,-2.558239031428635
5,1,1.0127708804643134
0,2,0.5199841854023542
1,2,0.21823701531753503
2,2,0.5467225523555429
3,2,0.4142095388605821
4,2,-0.11616954467457585
5,2,0.6721356076854659
0,3,0.6095205602731082
1,3,0.5552718404125387
2,3,0.6902749590191265
3,3,0.2952507443748813
4,3,0.9707355646250173
5,3,0.6292435269349084
0,4,0.765643261024474
1,4,0.41651670711779654
2,4,0.8176951390663798
3,4,0.465631101105238
4,4,0.2126149949176297
5,4,1.0142723707719024
0,5,0.8153694576367678
1,5,0.4808332946018119
2,5,0.7268268512273857
3,5,0.47346725123520894
4,5,0.112697542471644
5,5,0.8451479594241024
0,6,0.7959598859218996
1,6,0.47715684743991305
2,6,0.6518115644238556
3,6,0.3735112148153754
4,6,-0.08682793535195671
5,6,0.8192469738118809
0,7,0.7668054271383222
1,7,0.40557396408016966
2,7,0.6431114550138939
3,7,0.5073358238195114
4,7,0.2811433208587356
5,7,0.8895752499391668
0,8,0.6848241029783677
1,8,0.4794998587461051
2,8,0.7334102642394178
3,8,0.475311143080624
4,8,0.1910375762969769
5,8,0.8145037842176449
0,9,0.5067191892006817
1,9,0.3118526150079403
2,9,0.5905727683137149
3,9,0.33472780694834053
4,9,0.06666358203295725
5,9,0.7316019582062413
0,10,0.5936857274753852
1,10,0.3168431960704515
2,10,0.6008335800947139
3,10,0.2824751837399684
4,10,0.17063238729268204
5,10,0.6473225154522921
0,11,0.6810626993877658
1,11,0.41673207036745974
2,11,0.6368599853121255
3,11,0.38602894040266666
4,11,0.14810041753840486
5,11,0.7399798167039748
0,12,0.7984661743999857
1,12,0.5317140222118877
2,12,0.6538770263751874
3,12,0.4941894655197672
4,12,0.24205046477002487
5,12,0.8559508556560789
0,13,0.8629187263837548
1,13,0.5902747148276513
2,13,0.7199269584126388
3,13,0.505006222835167
4,13,0.23780698547194346
5,13,0.8878728270418184
0,14,0.8084473923647901
1,14,0.5829884708751685
2,14,0.7078939713573231
3,14,0.44138616246792395
4,14,0.3067630558755463
5,14,0.8574009499095618
0,15,0.7215300115294305
1,15,0.4875555695825744
2,15,0.733736683963119
3,15,0.4815506617018582
4,15,0.3055085357959396
5,15,0.8405344412871145
0,16,0.8233751305504506
1,16,0.5388243421089404
2,16,0.6850043734630862
3,16,0.5679119538058024
4,16,0.32048749068987914
5,16,0.9377271722744017
0,17,0.7476285761880455
1,17,0.4965704254941051
2,17,0.7414616371196051
3,17,0.572139806879655
4,17,0.2862649009649738
5,17,0.9173024899830782
0,18,0.8419234501910293
1,18,0.5196037338876659
2,18,0.6993616932555877
3,18,0.45442115233169206
4,18,0.3067579050749893
5,18,0.9945395268947745
0,19,0.7618807721715934
1,19,0.3740148352236325
2,19,0.7084380699593028
3,19,0.3451100833012225
4,19,0.19325059192991279
5,19,0.7391318691327335
0,20,0.6927836968971645
1,20,0.4256278404435192
2,20,0.616287150588688
3,20,0.3118723530391841
4,20,0.03860688283172553
5,20,0.6970692622212619
0,21,0.5197009258906888
1,21,0.39537045377089297
2,21,0.5203485489528844
3,21,0.2295410407523738
4,21,0.02734971418417413
5,21,0.7106114498907286
0,22,0.4627356967017369
1,22,0.33819873775970133
2,22,0.4002751617131918
3,22,0.1473629763674031
4,22,-0.08112725790325448
5,22,0.5814515133249308
