match_id,sample,value
1,0,24
2,0,6
3,0,3
4,0,20
5,0,10
6,0,6
7,0,21
8,0,10
9,0,7
10,0,19
11,0,18
12,0,52
13,0,3
14,0,22
15,0,21
16,0,26
17,0,8
18,0,17
19,0,11
20,0,26
21,0,22
22,0,20
23,0,9
24,0,16
25,0,13
26,0,29
27,0,61
28,0,40
29,0,35
30,0,21
31,0,15
32,0,16
33,0,9
34,0,23
35,0,40
36,0,10
37,0,36
38,0,10
39,0,15
40,0,21
41,0,18
42,0,14
43,0,25
44,0,31
45,0,22
46,0,16
47,0,33
48,0,63
49,0,21
50,0,16
51,0,13
52,0,9
53,0,15
54,0,9
55,0,40
56,0,21
57,0,0
58,0,18
59,0,9
60,0,15
1,1,24
2,1,6
3,1,3
4,1,20
5,1,10
6,1,6
7,1,21
8,1,10
9,1,7
10,1,19
11,1,18
12,1,52
13,1,3
14,1,22
15,1,21
16,1,26
17,1,8
18,1,17
19,1,11
20,1,26
21,1,22
22,1,20
23,1,9
24,1,16
25,1,13
26,1,29
27,1,61
28,1,40
29,1,35
30,1,21
31,1,15
32,1,16
33,1,9
34,1,23
35,1,40
36,1,10
37,1,36
38,1,10
39,1,15
40,1,21
41,1,18
42,1,14
43,1,25
44,1,31
45,1,22
46,1,16
47,1,33
48,1,63
49,1,21
50,1,16
51,1,13
52,1,9
53,1,15
54,1,9
55,1,40
56,1,21
57,1,0
58,1,18
59,1,9
60,1,15
1,2,24
2,2,6
3,2,3
4,2,20
5,2,10
6,2,6
7,2,21
8,2,10
9,2,7
10,2,19
11,2,18
12,2,52
13,2,3
14,2,22
15,2,21
16,2,26
17,2,8
18,2,17
19,2,11
20,2,26
21,2,22
22,2,20
23,2,9
24,2,16
25,2,13
26,2,29
27,2,61
28,2,40
29,2,35
30,2,21
31,2,15
32,2,16
33,2,9
34,2,23
35,2,40
36,2,10
37,2,36
38,2,10
39,2,15
40,2,21
41,2,18
42,2,14
43,2,25
44,2,31
45,2,22
46,2,16
47,2,33
48,2,63
49,2,21
50,2,16
51,2,13
52,2,9
53,2,15
54,2,9
55,2,40
56,2,21
57,2,0
58,2,18
59,2,9
60,2,15
1,3,24
2,3,6
3,3,3
4,3,20
5,3,10
6,3,6
7,3,21
8,3,10
9,3,7
10,3,19
11,3,18
12,3,52
13,3,3
