match_id,sample,value
1,0,26
2,0,28
3,0,26
4,0,0
5,0,30
6,0,27
7,0,20
8,0,13
9,0,46
10,0,17
11,0,29
12,0,11
13,0,51
14,0,20
15,0,16
16,0,3
17,0,15
18,0,47
19,0,18
20,0,23
21,0,19
22,0,13
23,0,19
24,0,23
25,0,25
26,0,0
27,0,20
28,0,10
29,0,55
30,0,23
31,0,9
32,0,16
33,0,10
34,0,27
35,0,9
36,0,19
37,0,20
38,0,21
39,0,58
40,0,25
41,0,29
42,0,67
43,0,35
44,0,21
45,0,27
46,0,19
47,0,7
48,0,10
49,0,16
50,0,22
51,0,29
52,0,19
53,0,36
54,0,22
55,0,18
56,0,61
57,0,29
58,0,20
59,0,13
60,0,23
1,1,26
2,1,28
3,1,26
4,1,0
5,1,30
6,1,27
7,1,20
8,1,13
9,1,46
10,1,17
11,1,29
12,1,11
13,1,51
14,1,20
15,1,16
16,1,3
17,1,15
18,1,47
19,1,18
20,1,23
21,1,19
22,1,13
23,1,19
24,1,23
25,1,25
26,1,0
27,1,20
28,1,10
29,1,55
30,1,23
31,1,9
32,1,16
33,1,10
34,1,27
35,1,9
36,1,19
37,1,20
38,1,21
39,1,58
40,1,25
41,1,29
42,1,67
43,1,35
44,1,21
45,1,27
46,1,19
47,1,7
48,1,10
49,1,16
50,1,22
51,1,29
52,1,19
53,1,36
54,1,22
55,1,18
56,1,61
57,1,29
58,1,20
59,1,13
60,1,23
1,2,26
2,2,28
3,2,26
4,2,0
5,2,30
6,2,27
7,2,20
8,2,13
9,2,46
10,2,17
11,2,29
12,2,11
13,2,51
14,2,20
15,2,16
16,2,3
17,2,15
18,2,47
19,2,18
20,2,23
21,2,19
22,2,13
23,2,19
24,2,23
25,2,25
26,2,0
27,2,20
28,2,10
29,2,55
30,2,23
31,2,9
32,2,16
33,2,10
34,2,27
35,2,9
36,2,19
37,2,20
38,2,21
39,2,58
40,2,25
41,2,29
42,2,67
43,2,35
44,2,21
45,2,27
46,2,19
47,2,7
48,2,10
49,2,16
50,2,22
51,2,29
52,2,19
53,2,36
54,2,22
55,2,18
56,2,61
57,2,29
58,2,20
59,2,13
60,2,23
1,3,26
2,3,28
3,3,26
4,3,0
5,3,30
6,3,27
7,3,20
8,3,13
9,3,46
10,3,17
11,3,29
12,3,11
13,3,51
14,3,20
15,3,16
16,3,3
17,3,15
18,3,47
19,3,18
20,3,23
21,3,19
22,3,13
23,3,19
24,3,23
25,3,25
26,3,0
27,3,20
28,3,10
29,3,55
30,3,23
31,3,9
32,3,16
33,3,10
34,3,27
35,3,9
36,3,19
37,3,20
38,3,21
39,3,58
40,3,25
41,3,29
42,3,67
43,3,35
44,3,21
45,3,27
46,3,19
47,3,7
48,3,10
49,3,16
50,3,22
51,3,29
52,3,19
53,3,36
54,3,22
55,3,18
56,3,61
57,3,29
58,3,20
59,3,13
60,3,23
1,4,26
2,4,28
3,4,26
4,4,0
5,4,30
6,4,27
7,4,20
8,4,13
9,4,46
10,4,17
11,4,29
12,4,11
13,4,51
14,4,20
15,4,16
16,4,3
17,4,15
18,4,47
19,4,18
20,4,23
21,4,19
22,4,13
23,4,19
24,4,23
25,4,25
26,4,0
27,4,20
28,4,10
29,4,55
30,4,23
31,4,9
32,4,16
33,4,10
34,4,27
35,4,9
36,4,19
37,4,20
38,4,21
39,4,58
40,4,25
41,4,29
42,4,67
43,4,35
44,4,21
45,4,27
46,4,19
47,4,7
48,4,10
49,4,16
50,4,22
51,4,29
52,4,19
53,4,36
54,4,22
55,4,18
56,4,61
57,4,29
58,4,20
59,4,13
60,4,23
1,5,26
2,5,28
3,5,26
4,5,0
5,5,30
6,5,27
7,5,20
8,5,13
9,5,46
10,5,17
11,5,29
12,5,11
13,5,51
14,5,20
15,5,16
16,5,3
17,5,15
18,5,47
19,5,18
20,5,23
21,5,19
22,5,13
23,5,19
24,5,23
25,5,25
26,5,0
27,5,20
28,5,10
29,5,55
30,5,23
31,5,9
32,5,16
33,5,10
34,5,27
35,5,9
36,5,19
37,5,20
38,5,21
39,5,58
40,5,25
41,5,29
42,5,67
43,5,35
44,5,21
45,5,27
46,5,19
47,5,7
48,5,10
49,5,16
50,5,22
51,5,29
52,5,19
53,5,36
54,5,22
55,5,18
56,5,61
57,5,29
58,5,20
59,5,13
60,5,23
1,6,26
2,6,28
3,6,26
4,6,0
5,6,30
6,6,27
7,6,20
8,6,13
9,6,46
10,6,17
11,6,29
12,6,11
13,6,51
14,6,20
15,6,16
16,6,3
17,6,15
18,6,47
19,6,18
20,6,23
21,6,19
22,6,13
23,6,19
24,6,23
25,6,25
26,6,0
27,6,20
28,6,10
29,6,55
30,6,23
31,6,9
32,6,16
33,6,10
34,6,27
35,6,9
36,6,19
37,6,20
38,6,21
39,6,58
40,6,25
41,6,29
42,6,67
43,6,35
44,6,21
45,6,27
